run	event
45241	136096
45241	136096
45241	188178
45241	243588
45241	269892
45241	276684
45241	301815
45241	314577
45241	314577
45241	316523
45241	323867
45241	336103
45241	382253
45241	411107
45241	413913
45241	460062
45241	485189
45241	497849
45241	509958
45241	509958
45241	529488
45241	571760
45241	599145
45241	627265
45241	629582
45241	685993
45241	717423
45241	761375
45241	764376
45241	871789
45241	871789
45245	132557
45245	145849
45245	177650
45245	192424
45245	193837
45245	262974
45245	262974
45245	277804
45245	326568
45245	397383
45245	481946
45245	509405
45245	549532
45245	611034
45245	635270
45245	663391
45245	672474
45245	704953
45245	705816
45245	800915
45245	800915
45245	816305
45245	816305
45245	845655
45245	853572
45245	876901
45245	881885
45245	952486
45245	961384
45246	35854
45246	35854
45246	90210
45246	90210
45246	97386
45246	97386
45246	117568
45246	192486
45246	262023
45246	432176
45246	432176
45246	464942
45246	506775
45246	518581
45246	518581
45246	530076
45246	575656
45246	806863
45246	838140
45246	839170
45246	839170
45246	908379
45246	908379
45246	908379
45246	916655
45246	926225
45246	954449
45247	26917
45247	30653
45247	30653
45247	119745
45247	119745
45247	157974
45247	260402
45247	323906
45247	362522
45247	362522
45247	432161
45247	432161
45247	451316
45247	600925
45247	617462
45247	617462
45247	633600
45247	633600
45247	686052
45247	694959
45247	706357
45247	706357
45247	726217
45247	726450
45247	726773
45247	812184
45247	813846
45247	816230
45247	857603
45247	864794
45247	905270
45247	905270
45247	920172
45247	925219
45247	938203
45247	945537
45247	979118
45247	979118
45248	9588
45248	75276
45248	75276
45248	77251
45248	180907
45248	193319
45248	269333
45248	289469
45248	317150
45248	343736
45248	355126
45248	358980
45248	358980
45248	416533
45248	450559
45248	490550
45248	490550
45248	490550
45248	522641
45248	542006
45248	546980
45248	546980
45248	557117
45248	628332
45248	634084
45248	634084
45248	644850
45248	656447
45248	751144
45248	869414
45248	894645
45248	984379
45248	984379
45249	2781
45249	34073
45249	99565
45249	227741
45249	232403
45249	232403
45249	248422
45249	248422
45249	264437
45249	286704
45249	321274
45249	321274
45249	358923
45249	366016
45249	434861
45249	460174
45249	489377
45249	537809
45249	600565
45249	600565
45249	607865
45249	607865
45249	616848
45249	765697
45249	765697
45249	805418
45249	903526
45250	28195
45250	84528
45250	110864
45250	135047
45250	135047
45250	135047
45250	209704
45250	444710
45250	457775
45250	459617
45250	522517
45250	526519
45250	537117
45250	541568
45250	541568
45250	569401
45250	605477
45250	635053
45250	652083
45250	657261
45250	657261
45250	693074
45250	693074
45250	715966
45250	832357
45250	905593
45250	915492
45250	917176
45250	917176
45250	940972
45250	947659
45250	980159
45251	65687
45251	76952
45251	122815
45251	128423
45251	134101
45251	187358
45251	323300
45251	347089
45251	349260
45251	432732
45251	439346
45251	474838
45251	489682
45251	489682
45251	517254
45251	566776
45251	566776
45251	566776
45251	586174
45251	672601
45251	715793
45251	715852
45251	735404
45251	794363
45251	794363
45251	802989
45251	873133
45251	875723
45251	919268
45251	919268
45251	960232
45251	963428
45251	963428
45251	968678
45252	220270
45252	243974
45252	268801
45252	328107
45252	336871
45252	336871
45252	375604
45252	394193
45252	394193
45252	402024
45252	445849
45252	528954
45252	531351
45252	541190
45252	693041
45252	693041
45252	693041
45252	702574
45252	702574
45252	702574
45252	711889
45252	746671
45252	782076
45252	785336
45252	785336
45252	798855
45252	839663
45252	861249
45252	885285
45252	892141
45252	894294
45252	949250
45252	976038
45252	976038
45252	976038
45253	3610
45253	3610
45253	3610
45253	54074
45253	54074
45253	79777
45253	101881
45253	134088
45253	177707
45253	277669
45253	277669
45253	277669
45253	322846
45253	341028
45253	375974
45253	394241
45253	451495
45253	451495
45253	456142
45253	456142
45253	475154
45253	492745
45253	492745
45253	497511
